[2025-07-22 22:18:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=59435 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=59435
[2025-07-22 22:18:44] [NEW] udp      17 30 src=192.168.10.111 dst=34.36.137.203 sport=50918 dport=443 [UNREPLIED] src=34.36.137.203 dst=192.168.10.111 sport=443 dport=50918
[2025-07-22 22:19:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=46705 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=46705
[2025-07-22 22:19:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=38605 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=38605
[2025-07-22 22:19:34] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=57054 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=57054
[2025-07-22 22:19:34] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=57062 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=57062
[2025-07-22 22:24:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=41048 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=41048
[2025-07-22 22:24:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53911 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53911
[2025-07-22 22:24:34] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=34650 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=34650
[2025-07-22 22:29:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=51599 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=51599
[2025-07-22 22:29:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=33339 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=33339
[2025-07-22 22:29:34] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=50396 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=50396
[2025-07-22 22:33:47] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=57898 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=57898
[2025-07-22 22:33:47] [NEW] udp      17 30 src=192.168.10.111 dst=34.36.137.203 sport=49730 dport=443 [UNREPLIED] src=34.36.137.203 dst=192.168.10.111 sport=443 dport=49730
[2025-07-22 22:33:49] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=37687 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=37687
[2025-07-22 22:34:34] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=48981 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=48981
[2025-07-22 22:34:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=55996 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=55996
[2025-07-22 22:34:35] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=49450 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=49450
[2025-07-22 22:39:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=37535 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=37535
[2025-07-22 22:39:35] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53903 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53903
[2025-07-22 22:39:35] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=44258 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=44258
[2025-07-22 22:41:21] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=36374 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=36374
[2025-07-22 22:41:21] [NEW] udp      17 30 src=192.168.10.111 dst=172.217.168.68 sport=55152 dport=443 [UNREPLIED] src=172.217.168.68 dst=192.168.10.111 sport=443 dport=55152
[2025-07-22 22:41:23] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34127 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34127
[2025-07-22 22:41:23] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=41393 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=41393
[2025-07-22 22:41:23] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=42900 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=42900
[2025-07-22 22:41:23] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.97 sport=43097 dport=443 [UNREPLIED] src=142.250.203.97 dst=192.168.10.111 sport=443 dport=43097
